rel_pkl,source_chunk_idx
CMU/114/114_07.pkl,191
CMU/114/114_07.pkl,192
CMU/114/114_07.pkl,196
CMU/114/114_07.pkl,197
CMU/114/114_07.pkl,198
CMU/114/114_07.pkl,199
CMU/114/114_07.pkl,200
CMU/114/114_07.pkl,201
CMU/114/114_07.pkl,202
CMU/114/114_07.pkl,203
CMU/114/114_07.pkl,204
CMU/114/114_07.pkl,205
CMU/114/114_07.pkl,206
CMU/114/114_07.pkl,207
CMU/114/114_07.pkl,208
CMU/114/114_07.pkl,209
CMU/114/114_07.pkl,210
CMU/114/114_07.pkl,211
CMU/114/114_07.pkl,212
CMU/114/114_07.pkl,213
CMU/114/114_07.pkl,214
CMU/114/114_07.pkl,215
CMU/114/114_07.pkl,216
CMU/114/114_07.pkl,217
CMU/114/114_07.pkl,218
CMU/114/114_07.pkl,219
CMU/114/114_07.pkl,220
CMU/114/114_07.pkl,226
CMU/114/114_07.pkl,227
CMU/114/114_07.pkl,228
CMU/114/114_07.pkl,229
CMU/114/114_07.pkl,230
CMU/114/114_07.pkl,231
CMU/114/114_07.pkl,232
CMU/114/114_07.pkl,240
CMU/114/114_07.pkl,241
CMU/114/114_07.pkl,242
CMU/114/114_07.pkl,243
CMU/114/114_07.pkl,244
CMU/114/114_08.pkl,175
CMU/114/114_08.pkl,176
CMU/114/114_08.pkl,177
CMU/114/114_08.pkl,178
CMU/114/114_08.pkl,186
CMU/114/114_08.pkl,189
CMU/114/114_08.pkl,190
CMU/114/114_08.pkl,191
CMU/114/114_08.pkl,192
CMU/114/114_08.pkl,193
CMU/114/114_08.pkl,194
CMU/114/114_08.pkl,195
CMU/114/114_08.pkl,196
CMU/114/114_08.pkl,207
CMU/114/114_08.pkl,208
CMU/114/114_08.pkl,209
CMU/114/114_08.pkl,210
CMU/114/114_08.pkl,211
CMU/114/114_08.pkl,212
CMU/114/114_08.pkl,213
CMU/114/114_08.pkl,214
CMU/114/114_08.pkl,215
CMU/114/114_08.pkl,216
CMU/114/114_08.pkl,217
CMU/114/114_08.pkl,218
CMU/114/114_08.pkl,219
CMU/114/114_08.pkl,220
CMU/114/114_08.pkl,221
CMU/114/114_08.pkl,222
CMU/114/114_08.pkl,223
CMU/114/114_09.pkl,158
CMU/114/114_09.pkl,159
CMU/114/114_09.pkl,173
CMU/114/114_09.pkl,174
CMU/114/114_09.pkl,175
CMU/114/114_09.pkl,176
