rel_pkl,source_chunk_idx,target_h_raw
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,0,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,1,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,2,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,3,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,4,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,5,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,6,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,7,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,8,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,9,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,10,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,11,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,12,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,13,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,14,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,15,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,16,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,17,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,18,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,19,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,20,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,21,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,22,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,23,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,24,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,25,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,26,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,27,0.14703454
BMLmovi/Subject_11_F_MoSh/Subject_11_F_13.pkl,28,0.14703454
