rel_pkl,source_chunk_idx
CMU/106/106_08.pkl,20
CMU/106/106_08.pkl,21
CMU/106/106_08.pkl,22
CMU/106/106_08.pkl,23
CMU/106/106_08.pkl,24
CMU/114/114_08.pkl,46
CMU/114/114_08.pkl,47
CMU/114/114_08.pkl,48
CMU/114/114_08.pkl,49
CMU/114/114_08.pkl,50
CMU/114/114_08.pkl,51
CMU/114/114_08.pkl,52
CMU/114/114_08.pkl,53
CMU/114/114_08.pkl,54
CMU/114/114_08.pkl,55
CMU/114/114_08.pkl,56
CMU/114/114_08.pkl,57
CMU/114/114_08.pkl,58
CMU/114/114_08.pkl,63
CMU/114/114_08.pkl,64
CMU/114/114_08.pkl,65
CMU/114/114_08.pkl,66
CMU/114/114_08.pkl,67
CMU/114/114_08.pkl,68
CMU/114/114_08.pkl,69
CMU/114/114_08.pkl,70
CMU/114/114_08.pkl,71
CMU/114/114_08.pkl,72
CMU/114/114_08.pkl,73
CMU/114/114_08.pkl,74
CMU/114/114_08.pkl,75
CMU/114/114_08.pkl,76
CMU/114/114_08.pkl,77
CMU/114/114_08.pkl,78
CMU/114/114_08.pkl,82
CMU/114/114_08.pkl,83
CMU/114/114_08.pkl,84
CMU/114/114_08.pkl,85
CMU/114/114_08.pkl,86
CMU/114/114_08.pkl,87
CMU/114/114_08.pkl,88
CMU/114/114_08.pkl,89
CMU/114/114_08.pkl,90
CMU/114/114_08.pkl,91
CMU/114/114_08.pkl,92
CMU/114/114_08.pkl,93
CMU/114/114_08.pkl,94
CMU/114/114_08.pkl,95
CMU/114/114_08.pkl,96
CMU/114/114_08.pkl,97
CMU/114/114_08.pkl,98
CMU/114/114_08.pkl,99
CMU/114/114_08.pkl,100
CMU/114/114_08.pkl,101
CMU/114/114_08.pkl,102
CMU/114/114_09.pkl,96
CMU/114/114_09.pkl,97
CMU/114/114_09.pkl,98
CMU/114/114_09.pkl,99
CMU/114/114_09.pkl,100
CMU/114/114_09.pkl,101
CMU/114/114_09.pkl,116
CMU/114/114_09.pkl,117
CMU/114/114_09.pkl,118
CMU/114/114_09.pkl,119
CMU/114/114_09.pkl,120
CMU/114/114_09.pkl,121
CMU/114/114_09.pkl,134
CMU/114/114_09.pkl,135
CMU/114/114_09.pkl,136
CMU/114/114_09.pkl,137
CMU/114/114_09.pkl,138
CMU/114/114_09.pkl,139
CMU/114/114_09.pkl,140
CMU/114/114_09.pkl,141
CMU/114/114_09.pkl,253
CMU/114/114_09.pkl,254
CMU/114/114_09.pkl,255
CMU/114/114_09.pkl,256
CMU/114/114_09.pkl,257
CMU/114/114_09.pkl,258
CMU/114/114_09.pkl,259
CMU/114/114_09.pkl,260
CMU/114/114_09.pkl,261
CMU/114/114_09.pkl,262
CMU/114/114_09.pkl,263
CMU/114/114_09.pkl,264
CMU/114/114_09.pkl,265
CMU/114/114_09.pkl,266
CMU/114/114_09.pkl,267
CMU/114/114_09.pkl,268
CMU/114/114_09.pkl,269
CMU/114/114_09.pkl,270
CMU/114/114_09.pkl,271
CMU/114/114_09.pkl,272
CMU/114/114_09.pkl,273
CMU/114/114_09.pkl,274
CMU/114/114_09.pkl,275
CMU/114/114_09.pkl,276
CMU/114/114_09.pkl,277
CMU/114/114_09.pkl,278
CMU/114/114_09.pkl,279
CMU/114/114_09.pkl,280
CMU/114/114_09.pkl,282
CMU/114/114_09.pkl,283
CMU/114/114_09.pkl,284
CMU/114/114_09.pkl,285
CMU/114/114_09.pkl,286
CMU/114/114_09.pkl,287
CMU/114/114_09.pkl,288
CMU/114/114_09.pkl,289
CMU/114/114_09.pkl,290
CMU/114/114_09.pkl,291
CMU/114/114_09.pkl,292
CMU/114/114_09.pkl,293
CMU/114/114_09.pkl,294
CMU/114/114_09.pkl,295
CMU/114/114_09.pkl,296
CMU/114/114_09.pkl,297
CMU/114/114_09.pkl,298
CMU/114/114_09.pkl,299
CMU/114/114_09.pkl,300
CMU/122/122_27.pkl,94
CMU/122/122_27.pkl,95
CMU/122/122_27.pkl,96
CMU/122/122_27.pkl,97
CMU/122/122_27.pkl,98
CMU/122/122_27.pkl,114
CMU/122/122_27.pkl,115
CMU/122/122_27.pkl,116
CMU/122/122_27.pkl,117
CMU/122/122_27.pkl,118
CMU/122/122_27.pkl,119
CMU/122/122_27.pkl,120
CMU/122/122_27.pkl,135
CMU/122/122_27.pkl,136
CMU/122/122_27.pkl,137
CMU/122/122_27.pkl,138
CMU/122/122_27.pkl,139
CMU/122/122_27.pkl,140
CMU/122/122_27.pkl,141
CMU/122/122_27.pkl,142
CMU/122/122_27.pkl,143
CMU/122/122_27.pkl,144
CMU/122/122_27.pkl,145
CMU/122/122_27.pkl,146
CMU/122/122_27.pkl,147
CMU/122/122_28.pkl,80
CMU/122/122_28.pkl,81
CMU/122/122_28.pkl,82
CMU/122/122_28.pkl,83
CMU/122/122_28.pkl,84
CMU/122/122_28.pkl,85
CMU/122/122_28.pkl,86
